# NAAIM Exposure Index: weekly survey of active managers' US equity exposure (-200% to +200%), by survey date.
# Source: National Association of Active Investment Managers (naaim.org): USE_Data-since-Inception_2026-07-29.xlsx,
# the last free full-history file before subscription access began on 2026-08-01. The index is the survey mean
# (the file's Mean/Average column, which NAAIM's own table shows as the NAAIM Number). Personal use.
week,naaim,bearish,quartile1,median,quartile3,bullish,deviation
2012-10-03,76.03,-125,50.75,95,100,200,57.27
2012-10-10,64.59,-125,30,80,100,175,66.48
2012-10-17,65.38,-160,48.75,85.5,100,170,71.78
2012-10-24,64.39,-125,50,70,95,170,59.78
2012-10-31,75.11,-125,50,85,100,200,59.22
2012-11-07,57.95,-125,40,65,90,170,57.54
2012-11-14,67.22,-125,23.75,77.5,99.65,170,64.79
2012-11-21,64.2,-25,40,50,100,170,42.98
2012-11-28,55.19,-125,20,70,100,150,58.26
2012-12-05,75.71,-125,51,85,100,200,53.95
2012-12-12,82.91,0,51.5,80,100,200,40.87
2012-12-19,80.19,-100,62.5,81.5,100,200,49.81
2012-12-26,88.1,0,67,85,100,200,44.51
2013-01-02,75.98,-125,59.25,77.5,100,200,53.25
2013-01-09,83.27,-100,65,90,100,150,43.59
2013-01-16,84.67,-200,67.75,97.5,100,200,60.85
2013-01-23,86.38,-125,66,95,100,190,53.95
2013-01-30,104.25,60,85.25,97.5,110,180,32.24
2013-02-06,94.06,-2,75,100,100,190,40.08
2013-02-13,89.85,-2,80,99,100,162,38.39
2013-02-20,91.07,-10,70.25,99,102.25,160,38.08
2013-02-27,82.77,-35,55,89.5,107.38,160,48.4
2013-03-06,90.15,-50,71,97,100,170,40.09
2013-03-13,85.64,0,68,95,100,170,42.82
2013-03-20,79.77,0,68,80,100,150,32.61
2013-03-27,80.06,0,55,87,100,170,40.66
2013-04-03,72.71,-125,56.25,87.5,100,170,61.57
2013-04-10,77.25,-125,56.25,84.5,100,170,52.12
2013-04-17,69.63,-125,50,80,100,170,53.35
2013-04-24,69.9,-125,50,70,100,200,58.8
2013-05-01,80.61,0,55,75,100,165,37.94
2013-05-08,79.11,-125,71.5,95,100,165,54.93
2013-05-15,84.23,-2,65,95,100,166,35.52
2013-05-22,82.02,-125,71,92.5,100,166,47.22
2013-05-29,77.19,-125,62.5,95,100,155,58.2
2013-06-05,51.58,-125,30,50,90,200,58.97
2013-06-12,61.9,-125,41,60,98.69,200,54.21
2013-06-19,51.53,-125,30,50,90,130,49.42
2013-06-26,34.21,-125,19.75,37.5,52.25,150,49.3
2013-07-03,39.91,-50,20,40,59,100,35.22
2013-07-10,47.08,-125,23.75,47.5,90,200,55.88
2013-07-17,61.73,-125,50,78.5,100,107.5,53.11
2013-07-24,87.5,15,75,95,100,200,33.44
2013-07-31,74.05,-125,64.5,95,100,150,54.48
2013-08-07,75.7,20,50,75,97.5,150,30.24
2013-08-14,69.85,-70,50,70.5,88.75,200,42.7
2013-08-21,34.76,-100,31,50,60,125,56.53
2013-08-28,46.92,-100,40,50,77.25,125,45.74
2013-09-04,42.26,-100,30,50,69.5,100,44.32
2013-09-11,66.75,0,43.75,67.5,96.25,125,31.1
2013-09-18,62.48,0,42.5,70,95,100,32.05
2013-09-25,80.47,-100,55,100,100,150,48.28
2013-10-02,73.13,-150,52.5,92.5,100,150,55.27
2013-10-09,54.26,-125,45,50,97.5,150,64.65
2013-10-16,82.05,5,56.25,100,100,130,30.4
2013-10-23,79.37,-100,64,95,100,150,46.05
2013-10-30,94.59,-5,87.5,100,100,150,29.66
