# AAII Investor Sentiment Survey: weekly bullish / neutral / bearish percentages by reported date (Thursday).
# Source: American Association of Individual Investors (aaii.com), sentiment.xls saved 2026-09-19. Personal use.
reported,bullish,neutral,bearish
1996-04-11,40.00,42.00,18.00
1996-04-18,36.00,38.00,26.00
1996-04-25,28.00,40.00,32.00
1996-05-02,48.00,31.00,21.00
1996-05-09,46.00,38.00,16.00
1996-05-16,37.00,40.00,23.00
1996-05-23,51.00,35.00,14.00
1996-05-30,61.00,29.00,10.00
1996-06-06,47.00,28.00,25.00
1996-06-13,49.00,28.00,23.00
1996-06-20,42.00,32.00,26.00
1996-06-27,42.00,41.00,17.00
1996-07-03,32.00,44.00,24.00
1996-07-11,40.00,35.00,25.00
1996-07-18,29.00,45.00,26.00
1996-07-25,30.00,32.00,38.00
1996-08-01,29.00,38.00,33.00
1996-08-08,27.00,42.00,31.00
1996-08-15,43.00,37.00,20.00
1996-08-22,28.00,46.00,26.00
1996-08-29,28.00,43.00,29.00
1996-09-05,29.00,35.00,36.00
1996-09-12,26.00,46.00,28.00
1996-09-19,28.00,41.00,31.00
1996-09-26,34.00,39.00,27.00
1996-10-03,40.00,31.00,29.00
1996-10-10,38.00,36.00,26.00
1996-10-17,39.00,36.00,25.00
1996-10-24,42.00,33.00,25.00
1996-10-31,37.00,29.00,34.00
1996-11-07,26.00,45.00,29.00
1996-11-14,37.00,34.00,29.00
1996-11-21,43.00,30.00,27.00
1996-11-27,52.00,27.00,21.00
1996-12-05,41.00,26.00,33.00
1996-12-12,40.00,28.00,32.00
1996-12-19,33.00,28.00,39.00
1996-12-26,37.00,33.00,30.00
1997-01-02,43.00,33.00,24.00
1997-01-09,36.00,39.00,25.00
1997-01-16,42.00,32.00,26.00
1997-01-23,37.00,41.00,22.00
1997-01-30,51.00,33.00,16.00
1997-02-06,47.00,29.00,24.00
1997-02-13,45.00,37.00,18.00
1997-02-20,44.00,36.00,20.00
1997-02-27,63.00,22.00,15.00
1997-03-06,43.00,37.00,20.00
1997-03-13,34.00,36.00,30.00
1997-03-20,36.00,42.00,22.00
1997-03-27,27.00,40.00,33.00
1997-04-03,29.00,40.00,31.00
1997-04-10,26.00,37.00,37.00
1997-04-17,31.00,41.00,28.00
1997-04-24,28.00,40.00,32.00
1997-05-01,27.00,44.00,29.00
1997-05-08,30.00,44.00,26.00
1997-05-15,41.00,36.00,23.00
1997-05-22,40.00,35.00,25.00
1997-05-29,40.00,40.00,20.00
1997-06-05,52.00,33.00,15.00
1997-06-12,49.00,35.00,16.00
1997-06-19,59.00,26.00,15.00
1997-06-26,52.00,25.00,23.00
1997-07-03,45.00,30.00,25.00
1997-07-10,49.00,33.00,18.00
1997-07-17,54.00,30.00,16.00
1997-07-24,53.00,25.00,22.00
1997-07-31,48.00,26.00,26.00
1997-08-07,49.00,28.00,23.00
1997-08-14,49.00,30.00,21.00
1997-08-21,47.00,33.00,20.00
1997-08-28,50.00,28.00,22.00
1997-09-04,37.00,38.00,25.00
1997-09-11,42.00,36.00,22.00
1997-09-18,40.00,44.00,16.00
1997-09-25,39.00,42.00,19.00
1997-10-02,38.00,43.00,19.00
1997-10-09,43.00,43.00,14.00
1997-10-16,43.00,36.00,21.00
1997-10-23,40.00,46.00,14.00
1997-10-30,41.00,36.00,23.00
1997-11-06,38.00,37.00,25.00
1997-11-13,45.00,38.00,17.00
1997-11-20,40.00,38.00,22.00
1997-11-26,40.00,40.00,20.00
1997-12-04,49.00,33.00,18.00
1997-12-11,46.00,37.00,17.00
1997-12-18,40.00,41.00,19.00
1997-12-24,41.00,36.00,23.00
1997-12-31,34.00,35.00,31.00
1998-01-08,42.00,40.00,18.00
1998-01-16,38.00,45.00,17.00
1998-01-23,31.00,39.00,30.00
1998-01-30,38.00,42.00,20.00
1998-02-05,30.00,45.00,25.00
1998-02-12,45.00,36.00,19.00
1998-02-19,42.00,43.00,15.00
1998-02-26,53.00,33.00,14.00
1998-03-05,53.00,34.00,13.00
1998-03-12,44.00,36.00,20.00
1998-03-19,40.00,38.00,22.00
1998-03-26,45.00,35.00,20.00
1998-04-02,46.00,32.00,22.00
1998-04-09,41.00,36.00,23.00
1998-04-16,53.00,32.00,15.00
1998-04-23,40.00,38.00,22.00
1998-04-30,44.00,31.00,25.00
1998-05-07,43.00,34.00,23.00
